level_0,level_1,level_2,L2_data
0,0,0,-1.4660505850020446e-05
0,0,1,-1.5254162724192812e-05
0,0,2,-1.6665482617243014e-05
0,0,3,-1.880603164208569e-05
0,0,4,-2.1669581108201833e-05
0,0,5,-2.4815235654649235e-05
0,0,6,-2.749556026380621e-05
0,0,7,-2.8606933778673125e-05
0,0,8,-2.7884600598549592e-05
0,0,9,-2.6206309168975397e-05
0,0,10,-2.5588717575363153e-05
0,0,11,-2.728566476793226e-05
0,0,12,-3.073886647227767e-05
0,0,13,-3.322010501735887e-05
0,0,14,-3.216370471674412e-05
0,0,15,-2.6972522979962503e-05
0,0,16,-2.0071480868036662e-05
0,0,17,-1.4729195054196594e-05
0,0,18,-1.3063094883434951e-05
0,0,19,-1.4422090776955907e-05
0,0,20,-1.6937619145710823e-05
0,0,21,-1.9015513124195627e-05
0,0,22,-2.0891731428084536e-05
0,0,23,-2.3358180085039148e-05
0,0,24,-2.684442229415358e-05
0,1,0,-5.274785875141005e-05
0,1,1,-5.2580415841434036e-05
0,1,2,-5.305593462210245e-05
0,1,3,-5.39965842737455e-05
0,1,4,-5.521120564075521e-05
0,1,5,-5.629755199477856e-05
0,1,6,-5.7064628162362154e-05
0,1,7,-5.732842709657991e-05
0,1,8,-5.751690852572019e-05
0,1,9,-5.820740716322979e-05
0,1,10,-5.997513976988975e-05
0,1,11,-6.230715637772121e-05
0,1,12,-6.392406856270862e-05
0,1,13,-6.325476342020654e-05
0,1,14,-6.018536715296845e-05
0,1,15,-5.6181674003969617e-05
0,1,16,-5.383744290654311e-05
0,1,17,-5.4541925850252806e-05
0,1,18,-5.773844652801147e-05
0,1,19,-6.099531648347662e-05
0,1,20,-6.246408804207434e-05
0,1,21,-6.197084831781311e-05
0,1,22,-6.146684056032013e-05
0,1,23,-6.281508834046222e-05
0,1,24,-6.65685309538029e-05
0,2,0,-1.498461972393899e-06
0,2,1,-3.5018361453408785e-07
0,2,2,2.1658919086611293e-07
0,2,3,-8.402092678960345e-07
0,2,4,-4.04583870820618e-06
0,2,5,-8.707037637102636e-06
0,2,6,-1.2743987743833351e-05
0,2,7,-1.4181172548051993e-05
0,2,8,-1.2782003565198735e-05
0,2,9,-1.0707688219651062e-05
0,2,10,-1.0766942352482639e-05
0,2,11,-1.4062892494326634e-05
0,2,12,-1.8583519412835437e-05
0,2,13,-2.0716030091607696e-05
0,2,14,-1.788034708068883e-05
0,2,15,-1.0628644131664006e-05
0,2,16,-1.818792961068397e-06
0,2,17,5.4778748804034876e-06
0,2,18,1.0026492183681042e-05
0,2,19,1.2131077145359404e-05
0,2,20,1.2560924083491102e-05
0,2,21,1.1417551889452835e-05
0,2,22,8.799607595812025e-06
0,2,23,5.402093739100014e-06
0,2,24,2.7648832317247826e-06
0,3,0,-1.0197415604263488e-05
0,3,1,-1.038842625038005e-05
0,3,2,-1.1816296650543414e-05
0,3,3,-1.424835120141428e-05
0,3,4,-1.7086843403805175e-05
0,3,5,-1.9473591207355398e-05
0,3,6,-2.07524193426858e-05
0,3,7,-2.0676389547962528e-05
0,3,8,-1.9717908930577953e-05
0,3,9,-1.8724334199329833e-05
0,3,10,-1.8486799725522366e-05
0,3,11,-1.9007023881955457e-05
0,3,12,-1.9567782546533257e-05
0,3,13,-1.9125883817670356e-05
0,3,14,-1.726514291298077e-05
0,3,15,-1.4361832520643358e-05
0,3,16,-1.1334833004761019e-05
0,3,17,-8.643217570585356e-06
0,3,18,-6.1329294240151434e-06
0,3,19,-3.375437964531577e-06
0,3,20,-6.688303637421863e-07
0,3,21,1.0209012717202811e-06
0,3,22,6.795740578839412e-07
0,3,23,-1.4601702479551925e-06
0,3,24,-3.927428709830339e-06
0,4,0,-7.42093345044779e-06
0,4,1,-5.823778267363986e-06
0,4,2,-5.3942026639737524e-06
0,4,3,-7.209120561496019e-06
0,4,4,-1.1114505211680458e-05
0,4,5,-1.5538690614246084e-05
0,4,6,-1.8739833746698845e-05
0,4,7,-1.9959397930573702e-05
0,4,8,-1.994623864362066e-05
0,4,9,-1.992862502079664e-05
0,4,10,-2.0547255735387228e-05
0,4,11,-2.116562829313979e-05
0,4,12,-2.069514884372294e-05
0,4,13,-1.8528723626715802e-05
0,4,14,-1.5326106849559997e-05
0,4,15,-1.2390074120893371e-05
0,4,16,-1.0898209379937114e-05
0,4,17,-1.0962119577882065e-05
0,4,18,-1.1934946962048518e-05
0,4,19,-1.2882950599328425e-05
0,4,20,-1.3470708885052073e-05
0,4,21,-1.3824340049608187e-05
0,4,22,-1.4403978131167073e-05
0,4,23,-1.5284783184887648e-05
0,4,24,-1.6269657948567207e-05
0,5,0,-9.871369360337343e-06
0,5,1,-7.746644088102851e-06
0,5,2,-7.0355740274590545e-06
0,5,3,-8.388244433656538e-06
0,5,4,-1.1233420265638742e-05
0,5,5,-1.397554967812114e-05
0,5,6,-1.5410721045275526e-05
0,5,7,-1.5489957563282336e-05
0,5,8,-1.5369764269919996e-05
0,5,9,-1.5986076232167587e-05
0,5,10,-1.7230560410357076e-05
0,5,11,-1.7769200691775473e-05
0,5,12,-1.651915447946683e-05
0,5,13,-1.3590005982257404e-05
0,5,14,-1.0624495625704335e-05
0,5,15,-9.339013498676921e-06
0,5,16,-1.0460327997564118e-05
0,5,17,-1.3031628192236115e-05
0,5,18,-1.5575946762927722e-05
0,5,19,-1.7034926849722666e-05
0,5,20,-1.7627046996998645e-05
0,5,21,-1.8009708960339975e-05
0,5,22,-1.874067324794118e-05
0,5,23,-1.9504224308246004e-05
0,5,24,-1.9832603063788593e-05
0,6,0,1.7213284741814866e-06
0,6,1,4.996517284042841e-06
0,6,2,6.181977051080806e-06
0,6,3,4.340382186329843e-06
0,6,4,3.970949923605383e-07
0,6,5,-3.6016057797904302e-06
0,6,6,-5.880956571145299e-06
0,6,7,-5.597744444334684e-06
0,6,8,-3.194835528133081e-06
0,6,9,-2.5915863482578054e-08
0,6,10,1.93760853786707e-06
0,6,11,1.341731601058856e-06
0,6,12,-1.6618273964700683e-06
0,6,13,-5.112083027298647e-06
0,6,14,-6.815895978264563e-06
0,6,15,-6.06735555722406e-06
0,6,16,-4.581876921465279e-06
0,6,17,-4.832426399617731e-06
0,6,18,-7.902952192902102e-06
0,6,19,-1.2214267706221478e-05
0,6,20,-1.5115577765319762e-05
0,6,21,-1.5158426860080705e-05
0,6,22,-1.358406579241477e-05
0,6,23,-1.2838782172991518e-05
0,6,24,-1.4470602911850048e-05
0,7,0,-1.9436769855289733e-06
0,7,1,-2.237465066580238e-06
0,7,2,-1.7342584607444743e-06
0,7,3,-1.6115513217450335e-06
0,7,4,-2.993248206566077e-06
0,7,5,-5.833451388855104e-06
0,7,6,-8.680851703425478e-06
0,7,7,-1.0017762705915138e-05
0,7,8,-9.541442275722004e-06
0,7,9,-8.531529338595141e-06
0,7,10,-8.491220162523455e-06
0,7,11,-9.775809434759732e-06
0,7,12,-1.1083920033873234e-05
0,7,13,-1.0716142867916093e-05
0,7,14,-7.89671515486808e-06
0,7,15,-3.422471916003872e-06
0,7,16,1.3358655958128268e-06
0,7,17,5.427514726245365e-06
0,7,18,8.808613439064483e-06
0,7,19,1.1480298847526248e-05
0,7,20,1.3032475984143503e-05
0,7,21,1.2718674822464738e-05
0,7,22,1.0612044952192179e-05
0,7,23,7.883672295291837e-06
0,7,24,6.275215044874904e-06
0,8,0,-3.902793511213893e-06
0,8,1,-1.2154863310680406e-06
0,8,2,3.6879114514093287e-07
0,8,3,-5.469002736954524e-07
0,8,4,-3.6046388886010637e-06
0,8,5,-6.954547986634437e-06
0,8,6,-9.022060218008254e-06
0,8,7,-9.606845080795075e-06
0,8,8,-9.78581976229308e-06
0,8,9,-1.0371177052571785e-05
0,8,10,-1.1114926404454572e-05
0,8,11,-1.0865615982685529e-05
0,8,12,-9.04504738304065e-06
0,8,13,-6.305308120944583e-06
0,8,14,-4.29140674633532e-06
0,8,15,-4.115211483850028e-06
0,8,16,-5.643543503957902e-06
0,8,17,-7.5134871607215985e-06
0,8,18,-8.496454981375195e-06
0,8,19,-8.228493903955613e-06
0,8,20,-7.451383815347601e-06
0,8,21,-6.964075059110259e-06
0,8,22,-7.126562703652063e-06
0,8,23,-7.522917128046967e-06
0,8,24,-7.739758562952771e-06
0,9,0,2.6969539382332586e-06
0,9,1,4.6945711325209115e-06
0,9,2,4.822184640734655e-06
0,9,3,2.967226372410509e-06
0,9,4,2.4829207951478806e-08
0,9,5,-2.6093006843020893e-06
0,9,6,-3.975763944950761e-06
0,9,7,-3.933082979898554e-06
0,9,8,-3.16326413122752e-06
0,9,9,-2.4691782546980366e-06
0,9,10,-2.3682316733453748e-06
0,9,11,-2.739925431274886e-06
0,9,12,-3.1800299364048904e-06
0,9,13,-3.287364060949871e-06
0,9,14,-3.1304926608985635e-06
0,9,15,-3.125970582932659e-06
0,9,16,-3.907711470683145e-06
0,9,17,-5.748023890328526e-06
0,9,18,-8.480956218329861e-06
0,9,19,-1.1402096287884062e-05
0,9,20,-1.3725204337924187e-05
0,9,21,-1.4832200733806511e-05
0,9,22,-1.4805069152195444e-05
0,9,23,-1.4258617013519609e-05
0,9,24,-1.4212432382668571e-05
0,10,0,5.8159017130866644e-06
0,10,1,2.708513460955103e-07
0,10,2,-5.7338246145416265e-06
0,10,3,-8.338627570079471e-06
0,10,4,-7.16828694539916e-06
0,10,5,-5.113391289445623e-06
0,10,6,-4.8907527478847425e-06
0,10,7,-6.430792379114682e-06
0,10,8,-7.195809856317707e-06
0,10,9,-5.362791634540665e-06
0,10,10,-1.9597966345125394e-06
0,10,11,-1.5797624194127586e-07
0,10,12,-1.9508675536587953e-06
0,10,13,-6.137078819171332e-06
